country,happiness
Afghanistan,3.8980320395000003
Albania,5.0921581985
Algeria,5.685063839000001
Angola,4.4202988745
Argentina,6.4407016278
Armenia,4.4026988505
Australia,7.321429517666666
Austria,7.250286877000001
Azerbaijan,4.8376280309
Bahrain,5.764396531142857
Bangladesh,4.755913543699999
Belarus,5.6210139274
Belgium,7.040103382555555
Belize,6.203145504
Benin,3.5017408302857143
Bhutan,5.196599483666667
Bolivia,5.743080329700001
Bosnia and Herzegovina,4.973676741125
Botswana,4.2526068686250005
Brazil,6.7853030683
Bulgaria,4.164373636285714
Burkina Faso,3.9630248547777773
Burundi,3.4913344385
Cambodia,4.0218446969
Cameroon,4.401644062900001
Canada,7.4675598143999995
Central African Republic,3.8019495009999997
Chad,3.9307889937999994
Chile,6.392216777900001
China,4.9249462128
Colombia,6.3293211461
Comoros,3.770586133
Congo,4.158458630333333
Costa Rica,7.201148939000001
Cote d'Ivoire,3.98798865075
Croatia,5.591800391875
Cuba,5.417868614
Cyprus,6.1041669249999995
Czech Republic,6.45551395425
Democratic Republic of Congo,4.325759768666667
Denmark,7.7196665764
Djibouti,4.822564959749999
Dominican Republic,5.0792770863
Ecuador,5.686137199599999
Egypt,4.6659533500000006
El Salvador,5.8642705917999995
Estonia,5.410651100999999
Ethiopia,4.5214493275
Finland,7.4734883905
France,6.686572218
Gabon,4.121366548599999
Georgia,4.0656715156
Germany,6.7234334945
Ghana,4.700103187799999
Greece,5.566533936333333
Guatemala,6.1971859932
Guinea,3.7030186651999997
Guyana,5.992826462000001
Haiti,4.088129520374999
Honduras,5.1991096019
Hong Kong,5.443452222
Hungary,4.978661960999999
Iceland,7.3696023225
India,4.7580945968999995
Indonesia,5.2265957357
Iran,4.965218007625
Iraq,4.6969243885
Ireland,7.066190719555555
Israel,7.233223628999999
Italy,6.2676051617
Jamaica,5.650438427750001
Japan,6.0559123036999996
Jordan,5.4973468779
Kazakhstan,5.7228479385
Kenya,4.3350686789
Kosovo,5.377364953444445
Kuwait,6.357992470125
Kyrgyzstan,4.983004331599999
Laos,5.0128027918
Latvia,5.106897777888888
Lebanon,5.0125522614
Lesotho,4.89751482
Liberia,3.8783657552
Libya,5.68489933
Lithuania,5.6485665324
Luxembourg,6.977739606571428
Macedonia,4.7506570219999995
Madagascar,3.947943346714286
Malawi,4.32003492125
Malaysia,5.8778280256999995
Mali,4.120064788333334
Malta,6.237791674428571
Mauritania,4.414705488333333
Mauritius,5.5624265675
Mexico,6.8288645267
Moldova,5.6002421379000005
Mongolia,4.790549993499999
Montenegro,5.17202883975
Morocco,4.9486388204
Mozambique,4.720395374200001
Myanmar,4.406175971
Namibia,4.729789257
Nepal,4.5456666233
Netherlands,7.459492895222222
New Zealand,7.328727510000001
Nicaragua,5.435294675800001
Niger,4.0540842294
Nigeria,4.94036996375
Northern Cyprus,5.66465926175
Norway,7.554830265000001
Oman,6.852982044
Pakistan,5.2100003244
Palestine,4.6084873676
Panama,6.8519357205
Paraguay,5.5101672172
Peru,5.5228322027
Philippines,4.9986884117
Poland,5.795330736555555
Portugal,5.224520623750001
Qatar,6.5689818382
Romania,5.277189413777779
Russia,5.492756032999999
Rwanda,3.822889149125
Saudi Arabia,6.582754898099999
Senegal,4.2650192976
Serbia,4.8867453337499995
Sierra Leone,4.096130341375
Singapore,6.598958969
Slovakia,5.915773187428572
Slovenia,5.902095198625
Somalia,5.086427768166668
South Africa,4.8946516276
South Korea,5.8743024827
South Sudan,3.9513818025000003
Spain,6.562484455100001
Sri Lanka,4.3028589963
Sudan,4.3787411689999995
Suriname,6.269286632999999
Swaziland,4.867091179
Sweden,7.3800132276
Switzerland,7.5677845956
Syria,4.016979592285714
Taiwan,6.194253087
Tajikistan,4.6810638429
Tanzania,3.8338542936000004
Thailand,6.1380238532
Togo,3.1107532023999993
Trinidad and Tobago,6.3037713765
Tunisia,4.948116506857143
Turkey,5.2727083683
Turkmenistan,5.798982858666666
Uganda,4.241533327000001
Ukraine,4.8537867069
United Arab Emirates,6.845426440375
United Kingdom,6.8649543286
United States,7.1702228069
Uruguay,6.2139681818
Uzbekistan,5.6243769857777774
Venezuela,6.6523856165
Vietnam,5.3281669616
Yemen,4.07648390525
Zambia,4.806539720888889
Zimbabwe,4.139683485
