country,happiness,mortality_under5_per_1k,log_gdp_per_capita,gini_percent,education_expected,taxes_percent_gdp,co2_per_capita
Afghanistan,3.8980320395000003,97.3,3.2750263364395233,27.82,9.274389999999999,7.471638846,0.420932656
Albania,5.0921581985,14.9,4.017256755147278,28.96,11.82,19.630698667,1.60703771
Algeria,5.685063839000001,25.2,4.11035204546309,38.81666666666667,13.96534,37.361849312,3.22420156
Angola,4.4202988745,167.4,3.8743665177945648,42.66,11.39,18.83667616,1.47221569
Argentina,6.4407016278,13.3,4.361389395576819,43.57,17.947329999999997,14.483360979333336,4.665868631
Armenia,4.4026988505,15.6,3.8766124775996214,30.3,12.31785,18.653482484,1.67383608
Australia,7.321429517666666,4.0,4.63175883914877,34.01,20.22107,21.361425995,16.51920992
Austria,7.250286877000001,3.9,4.647146121441257,30.04,15.746529999999998,18.267184644,7.769983422999999
Azerbaijan,4.8376280309,34.2,4.2199392159066935,33.03,11.94018,12.955829243,3.647379147
Bahrain,5.764396531142857,6.1,4.627819154900141,29.00333333333333,14.4,1.103893772,18.13127841
Bangladesh,4.755913543699999,41.1,3.4553699229906507,32.12,9.975060000000001,8.685927392,0.373339091
Belarus,5.6210139274,4.9,4.231840476758511,26.46,15.660229999999999,15.140210708,6.682510398
Belgium,7.040103382555555,4.4,4.608603675815561,33.14,16.33158,24.857084648,8.849398302
Belize,6.203145504,16.7,3.9145892605643793,42.74333333333333,13.550999999999998,22.640822386999996,1.739123561
Benin,3.5017408302857143,85.3,3.2388760920186015,43.53,11.06991,15.577882745999998,0.509941159
Bhutan,5.196599483666667,36.2,3.8553498755773536,38.73,12.62022,9.235527025,0.769164648
Bolivia,5.743080329700001,39.1,3.7733759361831143,46.64,13.15285,16.964865804000002,1.5613557919999999
Bosnia and Herzegovina,4.973676741125,6.6,3.972543011931862,33.04,13.6,20.866164157,6.185334807
Botswana,4.2526068686250005,46.6,4.183173257241816,60.46,12.49301,27.125443146,2.443804075
Brazil,6.7853030683,13.7,4.163014662465012,52.67,15.19340264,15.421630322999999,2.231257237
Bulgaria,4.164373636285714,11.6,4.19576181230076,34.28,14.35479,18.957275821,6.71438251
